Name,Code.Class,Accession,MB258,MB264,MB342,MB396,MB413,MB414,MB442,176,183,77,401,766,381,741,383,375,360,D458Med,med1603,D425Med,MB236,MB297,MB331,MB331-P,MB337TUB,MB348TUB,MB531,MB556,MB559,MB303,MB561,MB562,MB564,MB565,MB357,MB566,MB569,MB369,MB570,MB378,MB571,MB572,MB392,MB395,MB573,MB374,MB575,MB577,MB578,MB579,MB551,MB552,MB554,MB555,MB355,MB376,MB382,MB377,MB408,MB359,MB479,MB308,MB353,MB300,MB314,MB401,MB452,MB457,MB441,MB404,MB327,MB583,MN585,MB586,MB589,MB324,MB592,MB592,MB594,MB595,HD-MB03
DKK2,Endogenous,NM_014421.2,16.00,16.00,7.00,37.00,5.00,18.00,20.00,7.00,7.00,3.00,9.00,14.00,7.00,5.00,2.00,7.00,8.00,1.00,4.00,3.00,7.00,10.00,3.00,7.00,6.00,8.00,9.00,3.00,2.00,4.00,4.00,2.00,2.00,1.00,1.00,3.00,2.00,1.00,1.00,1.00,3.00,1.00,1.00,53.00,3.00,14.00,2.00,28.00,4.00,10.00,16.00,4.00,2.00,2.00,21.00,4.00,3.00,20.00,3.00,3.00,2.00,7.00,7.00,26.00,13.00,20.00,9.00,2.00,31.00,2.00,20.00,5.00,5.00,10.00,15.00,5.00,4.00,3.00,2.00,1.00,4.00
EMX2,Endogenous,NM_004098.3,12.00,14.00,8.00,11.00,10.00,387.00,69.00,3.00,3.00,2.00,1.00,7.00,1.00,4.00,5.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,6.00,66.00,103.00,17.00,1.00,1.00,5.00,21.00,8.00,3.00,1.00,6.00,1.00,1.00,3.00,9.00,4.00,2.00,10.00,1.00,52.00,2.00,1.00,18.00,8.00,41.00,11.00,11.00,9.00,6.00,3.00,16.00,7.00,6.00,5.00,22.00,30.00,6.00,1.00,11.00,9.00,115.00,13.00,20.00,13.00,67.00,8.00,37.00,15.00,265.00,3.00,30.00,7.00,2.00,10.00,4.00,1.00,1.00
GAD1,Endogenous,NM_000817.2,27.00,9.00,11.00,79.00,28.00,65.00,7.00,6.00,5.00,13.00,3.00,68.00,4.00,1.00,15.00,7.00,13.00,7.00,12.00,8.00,3.00,1.00,32.00,94.00,13.00,23.00,26.00,5.00,1.00,25.00,19.00,1.00,1.00,1.00,2.00,4.00,1.00,1.00,40.00,10.00,21.00,16.00,3.00,20.00,1.00,3.00,1.00,17.00,151.00,8.00,3.00,12.00,28.00,7.00,14.00,12.00,8.00,3.00,11.00,5.00,16.00,6.00,14.00,18.00,189.00,9.00,21.00,47.00,29.00,344.00,18.00,14.00,77.00,13.00,17.00,3.00,3.00,14.00,6.00,1.00,9.00
TNC,Endogenous,NM_002160.3,70.00,2.00,1.00,74.00,49.00,25.00,18.00,45.00,1.00,1.00,8.00,116.00,21.00,7.00,1.00,9.00,2.00,1.00,1.00,1.00,4.00,1.00,25.00,59.00,25.00,6.00,53.00,2.00,1.00,1.00,7.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,33.00,1.00,4.00,1.00,2.00,1.00,16.00,3.00,15.00,5.00,15.00,12.00,4.00,10.00,7.00,7.00,13.00,4.00,11.00,7.00,2.00,20.00,16.00,39.00,5.00,20.00,11.00,39.00,13.00,21.00,17.00,18.00,12.00,165.00,5.00,1.00,19.00,8.00,1.00,17.00
WIF1,Endogenous,NM_007191.2,17.00,18.00,7.00,12.00,6.00,40.00,19.00,13.00,10.00,12.00,7.00,9.00,4.00,3.00,5.00,3.00,6.00,3.00,4.00,4.00,16.00,9.00,4.00,6.00,3.00,15.00,6.00,1.00,2.00,7.00,2.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,7.00,1.00,2.00,63.00,1.00,1.00,3.00,3.00,21.00,15.00,8.00,5.00,12.00,1.00,14.00,1.00,9.00,4.00,5.00,7.00,3.00,2.00,15.00,10.00,39.00,7.00,54.00,5.00,67.00,36.00,48.00,17.00,8.00,4.00,12.00,6.00,2.00,36.00,1.00,1.00,2.00
ATOH1,Endogenous,NM_005172.1,5.00,4.00,1.00,1.00,7.00,6.00,12.00,1.00,1.00,3.00,1.00,1.00,2.00,4.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,5.00,1.00,1.00,1.00,4.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,12.00,11.00,10.00,4.00,2.00,2.00,3.00,7.00,3.00,1.00,3.00,2.00,7.00,7.00,3.00,14.00,16.00,12.00,10.00,8.00,5.00,29.00,7.00,19.00,20.00,13.00,5.00,6.00,2.00,1.00,1.00,4.00,1.00,5.00
EYA1,Endogenous,NM_172059.2,76.00,9.00,1.00,8.00,20.00,131.00,230.00,25.00,2.00,1.00,5.00,93.00,9.00,11.00,1.00,22.00,5.00,47.00,1.00,23.00,2.00,3.00,25.00,52.00,66.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,153.00,2.00,2.00,5.00,22.00,15.00,32.00,9.00,10.00,3.00,3.00,22.00,3.00,2.00,8.00,8.00,19.00,7.00,7.00,6.00,13.00,69.00,11.00,24.00,9.00,45.00,11.00,28.00,18.00,15.00,15.00,49.00,3.00,5.00,3.00,2.00,4.00,8.00
HHIP,Endogenous,NM_022475.1,6.00,14.00,8.00,9.00,12.00,12.00,17.00,5.00,5.00,6.00,4.00,8.00,5.00,41.00,1.00,14.00,8.00,1.00,2.00,3.00,40.00,24.00,3.00,4.00,4.00,10.00,4.00,1.00,1.00,2.00,20.00,2.00,2.00,1.00,1.00,5.00,1.00,5.00,4.00,5.00,3.00,1.00,1.00,8.00,5.00,2.00,1.00,3.00,24.00,7.00,3.00,2.00,3.00,1.00,2.00,2.00,5.00,20.00,2.00,4.00,1.00,5.00,1.00,2.00,41.00,4.00,6.00,1.00,2.00,8.00,3.00,4.00,5.00,4.00,8.00,2.00,2.00,7.00,1.00,4.00,1.00
PDLIM3,Endogenous,NM_014476.4,14.00,35.00,13.00,31.00,18.00,126.00,22.00,2.00,1.00,5.00,2.00,8.00,9.00,22.00,17.00,2.00,6.00,33.00,2.00,20.00,4.00,6.00,11.00,17.00,1.00,16.00,10.00,6.00,4.00,16.00,15.00,6.00,9.00,12.00,7.00,4.00,15.00,1.00,64.00,5.00,19.00,34.00,6.00,89.00,4.00,6.00,4.00,6.00,34.00,15.00,12.00,10.00,11.00,5.00,20.00,10.00,9.00,8.00,11.00,13.00,9.00,10.00,11.00,6.00,47.00,7.00,17.00,8.00,24.00,55.00,15.00,9.00,56.00,7.00,14.00,6.00,16.00,44.00,6.00,1.00,19.00
SFRP1,Endogenous,NM_003012.3,103.00,223.00,136.00,102.00,311.00,129.00,24.00,11.00,37.00,12.00,11.00,7.00,4.00,17.00,67.00,14.00,53.00,1.00,20.00,3.00,44.00,10.00,11.00,9.00,6.00,9.00,8.00,22.00,56.00,23.00,12.00,7.00,10.00,1.00,1.00,5.00,3.00,15.00,9.00,11.00,32.00,5.00,8.00,105.00,57.00,9.00,13.00,29.00,163.00,57.00,62.00,8.00,11.00,1.00,110.00,18.00,17.00,37.00,33.00,50.00,62.00,12.00,62.00,141.00,561.00,51.00,38.00,44.00,69.00,57.00,117.00,80.00,11.00,11.00,33.00,35.00,8.00,22.00,5.00,1.00,1.00
EGFL11,Endogenous,NM_198283.1,13095.00,28.00,5.00,4326.00,8224.00,1104.00,3042.00,3519.00,1036.00,22.00,236.00,1949.00,3898.00,633.00,6.00,2729.00,83.00,382.00,661.00,421.00,1044.00,571.00,1075.00,1118.00,4979.00,5124.00,6083.00,23.00,310.00,382.00,587.00,6.00,86.00,81.00,282.00,2187.00,137.00,1741.00,383.00,304.00,1103.00,1073.00,516.00,275.00,51.00,1063.00,1525.00,5226.00,2365.00,4156.00,74.00,2349.00,174.00,102.00,1364.00,968.00,416.00,1883.00,490.00,286.00,196.00,478.00,928.00,3837.00,3354.00,1866.00,1902.00,1778.00,290.00,181.00,48.00,5808.00,3127.00,10508.00,10835.00,119.00,18.00,244.00,93.00,162.00,1387.00
GABRA5,Endogenous,NM_000810.2,2482.00,413.00,29.00,12088.00,6958.00,1511.00,2422.00,3447.00,10.00,17.00,36.00,1479.00,2282.00,487.00,25.00,969.00,32.00,126.00,348.00,101.00,82.00,112.00,1085.00,1434.00,1751.00,3486.00,514.00,18.00,2.00,52.00,255.00,1.00,15.00,37.00,255.00,800.00,3.00,1.00,242.00,13.00,84.00,400.00,5.00,437.00,5.00,421.00,560.00,77.00,24.00,58.00,12.00,123.00,3.00,1.00,28.00,11.00,58.00,225.00,8.00,12.00,11.00,8.00,10.00,47.00,2827.00,10.00,2398.00,12.00,74.00,14.00,139.00,16.00,3370.00,98.00,1140.00,8.00,19.00,21.00,3.00,2.00,274.00
IMPG2,Endogenous,NM_016247.2,5128.00,371.00,39.00,17949.00,314.00,4657.00,4309.00,10536.00,1051.00,20.00,32.00,3890.00,5778.00,668.00,19.00,4586.00,18.00,1033.00,1044.00,1283.00,31.00,126.00,567.00,468.00,3464.00,461.00,9496.00,9.00,7.00,328.00,420.00,69.00,1002.00,51.00,131.00,3439.00,54.00,478.00,412.00,7.00,1849.00,1484.00,23.00,191.00,5.00,787.00,389.00,91.00,140.00,116.00,38.00,184.00,189.00,5.00,8.00,279.00,119.00,106.00,36.00,357.00,16.00,13144.00,437.00,1715.00,9896.00,31.00,780.00,55.00,1256.00,29.00,17.00,57.00,2704.00,21890.00,7506.00,79.00,577.00,514.00,149.00,3.00,6442.00
MAB21L2,Endogenous,NM_006439.4,33.00,50.00,25.00,52.00,71.00,362.00,2894.00,810.00,14.00,22.00,14.00,795.00,25.00,719.00,15.00,25.00,19.00,6.00,23.00,151.00,2085.00,911.00,547.00,449.00,45.00,674.00,14.00,5.00,6.00,4.00,942.00,6.00,1469.00,53.00,556.00,32.00,13.00,297.00,13.00,657.00,1878.00,29.00,23.00,20.00,4.00,447.00,17.00,6.00,7.00,19.00,3.00,281.00,1.00,1.00,1.00,4.00,2.00,3199.00,3.00,1.00,84.00,9.00,11.00,10.00,2717.00,4.00,271.00,8.00,42.00,4.00,23.00,35.00,5.00,3230.00,5784.00,1.00,104.00,42.00,5.00,2.00,2.00
NPR3,Endogenous,NM_000908.3,157.00,15.00,17.00,11199.00,504.00,366.00,28.00,683.00,9.00,5.00,7.00,109.00,682.00,74.00,6.00,1638.00,5.00,3.00,12.00,4.00,57.00,42.00,29.00,272.00,18.00,21.00,674.00,4.00,4.00,8.00,26.00,19.00,6.00,5.00,1.00,81.00,6.00,3.00,113.00,5.00,62.00,208.00,3.00,114.00,7.00,171.00,54.00,2.00,8.00,15.00,10.00,9.00,29.00,2.00,4.00,6.00,25.00,44.00,3.00,7.00,5.00,5.00,16.00,88.00,50.00,7.00,136.00,11.00,40.00,4.00,22.00,12.00,28.00,95.00,24.00,2.00,2.00,1.00,22.00,1.00,1.00
NRL,Endogenous,NM_006177.3,3307.00,81.00,42.00,2115.00,63.00,584.00,39.00,1083.00,381.00,10.00,17.00,583.00,798.00,131.00,11.00,1118.00,12.00,30.00,41.00,37.00,8.00,11.00,54.00,53.00,369.00,49.00,656.00,7.00,1.00,20.00,13.00,16.00,34.00,9.00,21.00,721.00,12.00,10.00,176.00,8.00,664.00,90.00,12.00,8.00,14.00,49.00,55.00,38.00,46.00,59.00,12.00,49.00,28.00,4.00,24.00,43.00,28.00,44.00,7.00,91.00,21.00,891.00,64.00,272.00,107.00,16.00,225.00,28.00,99.00,14.00,62.00,43.00,24.00,798.00,880.00,37.00,4.00,36.00,32.00,1.00,451.00
EOMES,Endogenous,NM_005442.2,1976.00,3.00,10.00,82.00,3296.00,29.00,6.00,51.00,641.00,462.00,4.00,49.00,11.00,5.00,375.00,40.00,1073.00,1.00,2.00,1.00,169.00,2.00,60.00,53.00,83.00,196.00,5.00,371.00,187.00,2.00,9.00,1.00,333.00,12.00,12.00,3.00,14.00,158.00,1.00,149.00,87.00,1.00,170.00,1.00,37.00,7.00,3.00,1247.00,717.00,1236.00,1630.00,22.00,1041.00,394.00,14.00,663.00,379.00,2.00,1.00,1310.00,929.00,544.00,978.00,1469.00,6.00,1210.00,14.00,2208.00,1256.00,108.00,3.00,692.00,18.00,6.00,204.00,462.00,2.00,10.00,435.00,178.00,1.00
KCNA1,Endogenous,NM_000217.2,154.00,1072.00,5399.00,35.00,4726.00,51.00,17.00,9.00,549.00,119.00,943.00,1.00,6.00,3.00,1323.00,3.00,788.00,2.00,1.00,1.00,57.00,13.00,1.00,1.00,7.00,54.00,6.00,605.00,343.00,23.00,72.00,58.00,4.00,1.00,4.00,5.00,3.00,37.00,2.00,101.00,28.00,6.00,468.00,6.00,548.00,1.00,195.00,2630.00,364.00,916.00,1056.00,734.00,435.00,292.00,5271.00,680.00,221.00,233.00,688.00,3584.00,1352.00,479.00,3150.00,1381.00,248.00,2168.00,333.00,1273.00,956.00,665.00,4443.00,29.00,26.00,21.00,51.00,360.00,4.00,20.00,232.00,147.00,3.00
KHDRBS2,Endogenous,NM_152688.2,3607.00,11117.00,2355.00,16564.00,11207.00,93.00,128.00,2661.00,1823.00,3371.00,2599.00,989.00,1620.00,133.00,1989.00,1374.00,1429.00,4.00,22.00,2.00,1054.00,716.00,151.00,157.00,399.00,14.00,126.00,535.00,156.00,47.00,393.00,377.00,307.00,2.00,3.00,1176.00,13.00,71.00,172.00,460.00,700.00,296.00,691.00,163.00,285.00,779.00,39.00,974.00,1617.00,1927.00,742.00,2125.00,518.00,251.00,860.00,331.00,750.00,377.00,358.00,1411.00,800.00,2029.00,599.00,2068.00,26.00,1686.00,1133.00,3205.00,3800.00,888.00,2362.00,443.00,18.00,696.00,3715.00,643.00,3.00,7.00,428.00,127.00,8.00
OAS1,Endogenous,NM_016816.2,29.00,111.00,114.00,11.00,102.00,9.00,14.00,27.00,7.00,8.00,84.00,1.00,2.00,1.00,6.00,4.00,37.00,1.00,2.00,1.00,14.00,9.00,6.00,7.00,2.00,11.00,7.00,28.00,6.00,1.00,6.00,8.00,2.00,1.00,2.00,3.00,1.00,2.00,1.00,3.00,3.00,1.00,21.00,1.00,15.00,2.00,10.00,11.00,57.00,31.00,13.00,31.00,4.00,3.00,43.00,21.00,6.00,10.00,26.00,30.00,21.00,5.00,10.00,17.00,8.00,26.00,44.00,50.00,50.00,7.00,34.00,31.00,44.00,6.00,16.00,2.00,1.00,16.00,10.00,1.00,1.00
